Nome da Variável,Descrição da Variável,Categoria
QT_SALAS_UTILIZADAS_ACESSIVEIS,Condições das salas de aula utilizadas na escola (dentro e fora do prédio escolar) - Número de salas de aula com acessibilidade para pessoas com deficiência ou mobilidade reduzida,
IN_EQUIP_PARABOLICA,Equipamentos existentes na escola para uso técnico e administrativo - Antena parabólica,"0 - Não
1 - Sim"
IN_COMPUTADOR,Equipamentos existentes na escola para uso técnico e administrativo - Computador,"0 - Não
1 - Sim"
IN_EQUIP_COPIADORA,Equipamentos existentes na escola para uso técnico e administrativo - Copiadora,"0 - Não
1 - Sim"
IN_EQUIP_IMPRESSORA,Equipamentos existentes na escola para uso técnico e administrativo - Impressora,"0 - Não
1 - Sim"
IN_EQUIP_IMPRESSORA_MULT,Equipamentos existentes na escola para uso técnico e administrativo - Impressora Multifuncional,"0 - Não
1 - Sim"
IN_EQUIP_SCANNER,Equipamentos existentes na escola para uso técnico e administrativo - Scanner,"0 - Não
1 - Sim"
IN_EQUIP_NENHUM,"Nenhum dos equipamentos listados para uso técnico e administrativo - Antena parabólica, Computador, Copiadora, Impressora, Impressora Multifuncional ou Scanner","0 - Não
1 - Sim"
IN_EQUIP_DVD,Equipamentos existentes na escola para o processo ensino e aprendizagem - DVD/Blu-ray,"0 - Não
1 - Sim"
QT_EQUIP_DVD,Quantidade de Aparelhos de DVD/Blu-ray,88888 - registro com marcação de valor extremo (valor superior ao limite máximo de 4 equipamentos para cada 3 salas existentes - foram marcados apenas valores>3)
IN_EQUIP_SOM,Equipamentos existentes na escola para o processo ensino e aprendizagem - Aparelho de som,"0 - Não
1 - Sim"
QT_EQUIP_SOM,Quantidade de Aparelhos de som,88888 - registro com marcação de valor extremo (valor superior ao limite máximo de 4 equipamentos para cada 3 salas existentes - foram marcados apenas valores>3)
IN_EQUIP_TV,Equipamentos existentes na escola para o processo ensino e aprendizagem - Aparelho de televisão,"0 - Não
1 - Sim"
